"title","noise_denom","n","true_beta_range","noise_coef","sd","alpha","location"
"diff_hist_beta20184.png","1","100","-20,20","0.1","3","1","mean"
"diff_hist_beta20185.png","1","100","-20,20","0.1","4","0.01","median"
"diff_hist_beta20186.png","1","100","-20,20","0.1","4","0.01","mean"
"diff_hist_beta20187.png","1","100","-20,20","0.1","4","0.1","median"
"diff_hist_beta20188.png","1","100","-20,20","0.1","4","0.1","mean"
"diff_hist_beta20189.png","1","100","-20,20","0.1","4","0.5","median"
"diff_hist_beta20190.png","1","100","-20,20","0.1","4","0.5","mean"
"diff_hist_beta20191.png","1","100","-20,20","0.1","4","1","median"
"diff_hist_beta20192.png","1","100","-20,20","0.1","4","1","mean"
"diff_hist_beta20193.png","1","100","-20,20","0.1","5","0.01","median"
"diff_hist_beta20194.png","1","100","-20,20","0.1","5","0.01","mean"
"diff_hist_beta20195.png","1","100","-20,20","0.1","5","0.1","median"
"diff_hist_beta20196.png","1","100","-20,20","0.1","5","0.1","mean"
"diff_hist_beta20197.png","1","100","-20,20","0.1","5","0.5","median"
"diff_hist_beta20198.png","1","100","-20,20","0.1","5","0.5","mean"
"diff_hist_beta20199.png","1","100","-20,20","0.1","5","1","median"
"diff_hist_beta20200.png","1","100","-20,20","0.1","5","1","mean"
"diff_hist_beta20201.png","1","100","-20,20","0.1","6","0.01","median"
"diff_hist_beta20202.png","1","100","-20,20","0.1","6","0.01","mean"
"diff_hist_beta20203.png","1","100","-20,20","0.1","6","0.1","median"
"diff_hist_beta20204.png","1","100","-20,20","0.1","6","0.1","mean"
"diff_hist_beta20205.png","1","100","-20,20","0.1","6","0.5","median"
"diff_hist_beta20206.png","1","100","-20,20","0.1","6","0.5","mean"
"diff_hist_beta20207.png","1","100","-20,20","0.1","6","1","median"
"diff_hist_beta20208.png","1","100","-20,20","0.1","6","1","mean"
"diff_hist_beta20209.png","1","100","-20,20","0.1","7","0.01","median"
"diff_hist_beta20210.png","1","100","-20,20","0.1","7","0.01","mean"
"diff_hist_beta20211.png","1","100","-20,20","0.1","7","0.1","median"
"diff_hist_beta20212.png","1","100","-20,20","0.1","7","0.1","mean"
"diff_hist_beta20213.png","1","100","-20,20","0.1","7","0.5","median"
"diff_hist_beta20214.png","1","100","-20,20","0.1","7","0.5","mean"
"diff_hist_beta20215.png","1","100","-20,20","0.1","7","1","median"
"diff_hist_beta20216.png","1","100","-20,20","0.1","7","1","mean"
"diff_hist_beta20217.png","1","100","-20,20","0.1","8","0.01","median"
"diff_hist_beta20218.png","1","100","-20,20","0.1","8","0.01","mean"
"diff_hist_beta20219.png","1","100","-20,20","0.1","8","0.1","median"
"diff_hist_beta20220.png","1","100","-20,20","0.1","8","0.1","mean"
"diff_hist_beta20221.png","1","100","-20,20","0.1","8","0.5","median"
"diff_hist_beta20222.png","1","100","-20,20","0.1","8","0.5","mean"
"diff_hist_beta20223.png","1","100","-20,20","0.1","8","1","median"
"diff_hist_beta20224.png","1","100","-20,20","0.1","8","1","mean"
"diff_hist_beta20225.png","1","100","-20,20","0.1","9","0.01","median"
"diff_hist_beta20226.png","1","100","-20,20","0.1","9","0.01","mean"
"diff_hist_beta20227.png","1","100","-20,20","0.1","9","0.1","median"
"diff_hist_beta20228.png","1","100","-20,20","0.1","9","0.1","mean"
"diff_hist_beta20229.png","1","100","-20,20","0.1","9","0.5","median"
"diff_hist_beta20230.png","1","100","-20,20","0.1","9","0.5","mean"
"diff_hist_beta20231.png","1","100","-20,20","0.1","9","1","median"
"diff_hist_beta20232.png","1","100","-20,20","0.1","9","1","mean"
"diff_hist_beta20233.png","1","100","-20,20","0.1","10","0.01","median"
"diff_hist_beta20234.png","1","100","-20,20","0.1","10","0.01","mean"
"diff_hist_beta20235.png","1","100","-20,20","0.1","10","0.1","median"
"diff_hist_beta20236.png","1","100","-20,20","0.1","10","0.1","mean"
"diff_hist_beta20237.png","1","100","-20,20","0.1","10","0.5","median"
"diff_hist_beta20238.png","1","100","-20,20","0.1","10","0.5","mean"
"diff_hist_beta20239.png","1","100","-20,20","0.1","10","1","median"
"diff_hist_beta20240.png","1","100","-20,20","0.1","10","1","mean"
"diff_hist_beta20241.png","1","100","-20,20","0.1","11","0.01","median"
"diff_hist_beta20242.png","1","100","-20,20","0.1","11","0.01","mean"
"diff_hist_beta20243.png","1","100","-20,20","0.1","11","0.1","median"
"diff_hist_beta20244.png","1","100","-20,20","0.1","11","0.1","mean"
"diff_hist_beta20245.png","1","100","-20,20","0.1","11","0.5","median"
"diff_hist_beta20246.png","1","100","-20,20","0.1","11","0.5","mean"
"diff_hist_beta20247.png","1","100","-20,20","0.1","11","1","median"
"diff_hist_beta20248.png","1","100","-20,20","0.1","11","1","mean"
"diff_hist_beta20249.png","1","100","-20,20","0.1","12","0.01","median"
"diff_hist_beta20250.png","1","100","-20,20","0.1","12","0.01","mean"
"diff_hist_beta20251.png","1","100","-20,20","0.1","12","0.1","median"
"diff_hist_beta20252.png","1","100","-20,20","0.1","12","0.1","mean"
"diff_hist_beta20253.png","1","100","-20,20","0.1","12","0.5","median"
"diff_hist_beta20254.png","1","100","-20,20","0.1","12","0.5","mean"
"diff_hist_beta20255.png","1","100","-20,20","0.1","12","1","median"
"diff_hist_beta20256.png","1","100","-20,20","0.1","12","1","mean"
"diff_hist_beta20257.png","1","100","-20,20","0.1","13","0.01","median"
"diff_hist_beta20258.png","1","100","-20,20","0.1","13","0.01","mean"
"diff_hist_beta20259.png","1","100","-20,20","0.1","13","0.1","median"
"diff_hist_beta20260.png","1","100","-20,20","0.1","13","0.1","mean"
"diff_hist_beta20261.png","1","100","-20,20","0.1","13","0.5","median"
"diff_hist_beta20262.png","1","100","-20,20","0.1","13","0.5","mean"
"diff_hist_beta20263.png","1","100","-20,20","0.1","13","1","median"
"diff_hist_beta20264.png","1","100","-20,20","0.1","13","1","mean"
"diff_hist_beta20265.png","1","100","-20,20","0.1","14","0.01","median"
"diff_hist_beta20266.png","1","100","-20,20","0.1","14","0.01","mean"
"diff_hist_beta20267.png","1","100","-20,20","0.1","14","0.1","median"
"diff_hist_beta20268.png","1","100","-20,20","0.1","14","0.1","mean"
"diff_hist_beta20269.png","1","100","-20,20","0.1","14","0.5","median"
"diff_hist_beta20270.png","1","100","-20,20","0.1","14","0.5","mean"
"diff_hist_beta20271.png","1","100","-20,20","0.1","14","1","median"
"diff_hist_beta20272.png","1","100","-20,20","0.1","14","1","mean"
"diff_hist_beta20273.png","1","100","-20,20","0.1","15","0.01","median"
"diff_hist_beta20274.png","1","100","-20,20","0.1","15","0.01","mean"
"diff_hist_beta20275.png","1","100","-20,20","0.1","15","0.1","median"
"diff_hist_beta20276.png","1","100","-20,20","0.1","15","0.1","mean"
"diff_hist_beta20277.png","1","100","-20,20","0.1","15","0.5","median"
"diff_hist_beta20278.png","1","100","-20,20","0.1","15","0.5","mean"
"diff_hist_beta20279.png","1","100","-20,20","0.1","15","1","median"
"diff_hist_beta20280.png","1","100","-20,20","0.1","15","1","mean"
"diff_hist_beta20281.png","1","100","-20,20","0.1","16","0.01","median"
"diff_hist_beta20282.png","1","100","-20,20","0.1","16","0.01","mean"
"diff_hist_beta20283.png","1","100","-20,20","0.1","16","0.1","median"
"diff_hist_beta20284.png","1","100","-20,20","0.1","16","0.1","mean"
"diff_hist_beta20285.png","1","100","-20,20","0.1","16","0.5","median"
"diff_hist_beta20286.png","1","100","-20,20","0.1","16","0.5","mean"
"diff_hist_beta20287.png","1","100","-20,20","0.1","16","1","median"
"diff_hist_beta20288.png","1","100","-20,20","0.1","16","1","mean"
"diff_hist_beta20289.png","1","100","-20,20","0.1","17","0.01","median"
"diff_hist_beta20290.png","1","100","-20,20","0.1","17","0.01","mean"
