"Hetero_pwr","mu","var"
2.52,1.2664713722188e-13,5.56189433509747e-26
2.53,-8.6446395387081e-30,1.14580600703092e-58
2.54,5.25233190273866e-13,4.1813917863909e-25
2.55,1.01863406598568e-13,7.38133253397469e-25
2.56,-1.14141585072502e-13,5.00943145788839e-26
2.57,-1.8781065591611e-13,2.43627253631794e-25
2.58,-1.4973317735523e-29,8.79225819782645e-58
2.59,9.31146957834821e-30,2.63904433884539e-56
2.6,-3.83352016797289e-13,1.93412670800684e-25
2.61,-1.28125066112261e-13,2.49032778538782e-26
2.62,2.70802047452889e-13,1.11394018077579e-25
2.63,-4.99962617763833e-29,1.51711538472684e-57
2.64,-7.46175937462342e-29,1.04741924822537e-56
2.65,3.31965566147119e-13,2.8949251417803e-26
2.66,1.01538330023136e-29,4.05349375873741e-58
2.67,-6.00493876845576e-13,2.70350973127497e-25
2.68,1.07330274979165e-29,1.18033136722779e-57
2.69,2.02225863699229e-29,1.53598174551657e-57
2.7,-6.50288711767644e-14,6.94399287042135e-25
2.71,-1.31176713812198e-28,2.24353419244371e-56
2.72,1.33184130390873e-13,3.75429167851367e-26
2.73,-2.41925590671599e-13,1.9395605145833e-25
2.74,3.86317215415534e-29,1.40133550322762e-57
2.75,1.99861460714601e-13,7.61953715914642e-26
2.76,-5.01053306712153e-29,1.71118595350723e-57
2.77,-2.69108395238074e-29,7.58952614753185e-58
2.78,-1.16616428038913e-28,1.98550528463395e-56
2.79,-5.64296127711541e-29,7.99382767994447e-57
2.8,1.1154952517245e-12,7.33572374909886e-25
2.81,2.89446688839234e-13,2.66500267284187e-26
2.82,1.19409283577626e-30,9.11649105791717e-58
2.83,-1.33347925263922e-28,2.02326811880125e-56
2.84,-6.1413629737217e-13,1.53160842951159e-25
2.85,-2.6330592391934e-29,6.81612692885915e-58
2.86,-2.06158108514246e-29,1.03678852958004e-57
2.87,-3.7806762731088e-29,2.14937088186807e-57
2.88,-1.60194097421986e-29,2.48266156053665e-58
2.89,-2.687556843739e-13,6.95469074180692e-25
2.9,2.34422259381972e-13,1.28239853475369e-25
2.91,2.10912685602692e-28,4.00196087703895e-56
2.92,-1.8007995095104e-13,7.04466422860526e-25
2.93,1.86901161214337e-13,3.35507023278234e-26
2.94,7.79174087735348e-30,4.78401752079675e-56
2.95,4.14729584008455e-13,1.24668290038473e-25
2.96,-1.55523594003171e-13,6.31431094421235e-26
2.97,1.49076488399861e-28,2.79656127396344e-56
2.98,-9.89075775118367e-30,2.5402522689789e-57
2.99,-5.50244294572622e-14,2.74762240807341e-26
3,-1.2083824988717e-28,3.1034630914623e-56
3.01,-3.85171006200835e-13,1.94083357783835e-25
3.02,-5.30690158484504e-13,1.1565440188643e-24
3.03,1.01863406598568e-13,5.68391486056758e-25
3.04,8.02629074314609e-14,4.53251453475909e-25
3.05,2.24367039662816e-29,1.37873967305203e-57
3.06,2.75090289025396e-28,3.8681460683281e-56
3.07,-4.63577936928518e-29,2.48585301217821e-57
3.08,-1.8050689792503e-28,6.31614804114136e-56
3.09,2.32997033998819e-28,3.55229644938452e-56
3.1,-1.98269844986498e-13,1.6309782616441e-25
3.11,-2.35089134534663e-28,4.81851646974538e-56
3.12,-1.31376509671099e-12,5.92994727224173e-25
3.13,5.8457771956455e-13,7.92279531665147e-26
3.14,-1.75541436622943e-28,4.13366881049752e-56
3.15,-2.19263375846592e-29,2.97769797065321e-56
3.16,-2.36904031320564e-28,5.65595124543327e-56
3.17,1.22781784739345e-13,3.6330948275571e-25
3.18,2.29273350202077e-29,1.34748525541132e-57
3.19,8.72660166351125e-13,4.53011589728462e-25
3.2,-1.80989445652813e-13,2.2720473764158e-25
3.21,-7.32597982278094e-13,2.30947957615753e-25
3.22,8.94965536872497e-29,4.50763244970045e-56
3.23,-4.82441716305654e-29,1.64697907739494e-57
3.24,3.16049408866093e-14,4.62322701925183e-25
3.25,-2.28692442760803e-12,1.15551894419129e-24
3.26,-2.66027200268581e-13,6.81197517586134e-25
3.27,-1.54600325172185e-28,6.27901792672882e-56
3.28,7.54425855120644e-13,9.95415197201047e-25
3.29,7.59428075980395e-14,2.64364729549102e-25
3.3,-8.52207244492687e-29,1.56278924007585e-56
3.31,3.80168785341084e-13,4.5066522029821e-25
3.32,-2.66997625322832e-29,9.4645838866332e-58
3.33,-9.03810359886847e-14,1.0209055202297e-25
3.34,3.39241523761302e-13,5.0953249322059e-25
3.35,1.67801772477105e-12,9.60055296035958e-25
3.36,1.08684616861865e-13,2.77771845143154e-25
3.37,1.47610990097746e-12,2.85142156882381e-25
3.38,-1.56319401867222e-13,2.53884909058863e-26
3.39,-6.31865974035582e-29,2.36411288877546e-56
3.4,1.3437279165831e-29,3.82520000984546e-57
3.41,4.95674612466246e-14,9.45403476482125e-25
3.42,-5.04979575905813e-29,2.99814025757526e-57
3.43,7.88986653788015e-14,1.40119293163355e-25
3.44,1.44200384966098e-12,6.54490927518781e-25
3.45,2.96950020128861e-13,3.20147670357608e-25
3.46,-2.26918928092346e-13,1.71397577580904e-25
3.47,2.10093276109546e-13,1.14380282920383e-25
3.48,6.18456397205591e-14,1.96186375480325e-24
3.49,-4.78669891286095e-29,8.84387144616625e-57
3.5,-6.63476384943351e-13,7.44445784123146e-25
3.51,-1.63903259275539e-28,3.9015159927377e-56
3.52,-4.46242915751512e-29,4.02634409905673e-57
3.53,1.25191945699044e-12,4.46294783793497e-25
3.54,-7.75912667450029e-14,4.50675227558655e-26
3.55,-3.22770643524591e-29,7.50440936519199e-56
3.56,-5.8184560072563e-29,6.58610037375676e-57
3.57,4.04542738589243e-28,7.06956768030101e-56
3.58,-1.23145582620054e-12,1.10885589733855e-24
3.59,-2.22040008460789e-29,3.03524932040158e-57
3.6,1.48065151463035e-29,3.9754493796666e-57
3.61,-5.31807423811124e-30,4.82903706466363e-57
3.62,2.64208210865036e-13,3.12871130594729e-25
3.63,-1.15602430175646e-28,7.09115748012996e-57
3.64,5.33873389940709e-13,3.43773447347726e-25
3.65,-3.05590219795704e-13,7.20453613318158e-25
3.66,1.46428646985441e-13,1.81916806106457e-25
3.67,6.10498318565078e-13,3.17633163426718e-25
3.68,-5.68888935958967e-13,5.49383513146928e-25
3.69,-4.91186185205842e-29,2.25227437077654e-57
3.7,1.49270817928482e-13,4.80637139988971e-26
3.71,1.74168235389516e-13,4.85691433988966e-25
3.72,5.77301761950366e-13,6.53737594925129e-25
3.73,-8.79958286454617e-29,2.15745821485384e-56
3.74,4.6429704525508e-13,3.00682843691044e-25
3.75,-2.88255359902967e-28,5.13828220833342e-56
3.76,6.94575460968091e-29,1.23039911410008e-55
3.77,-6.19720252456443e-29,5.84694549650672e-57
3.78,-1.90462148629741e-29,1.39921489298427e-57
3.79,-6.53674995184645e-29,6.53780209116787e-57
3.8,1.58479451783933e-12,1.83109449024181e-24
3.81,1.02681951830164e-12,1.18598986845266e-25
3.82,1.13918054370818e-28,7.39515960951418e-57
3.83,-3.86444298783317e-12,1.52436304357308e-24
3.84,-2.19929695591834e-28,3.30748362380484e-56
3.85,-2.32715369856755e-28,1.65682852457115e-55
3.86,-3.11501935357228e-13,1.3150329420411e-25
3.87,-2.03272065846249e-13,1.62432728239451e-25
3.88,3.64707375410944e-13,1.85283406359289e-24
3.89,-4.7202775022015e-13,9.3452282219343e-25
3.9,7.32691274873201e-29,4.99044528376681e-57
3.91,-8.89031070983037e-13,2.12172034122007e-25
3.92,-1.70277898311362e-28,1.85205855859923e-56
3.93,-4.73199712832544e-29,4.61065484761518e-56
3.94,7.59428075980395e-13,1.02695839262683e-24
3.95,-8.90874898648473e-29,1.41215090475806e-56
3.96,-4.41559677710757e-13,1.26978413391333e-24
3.97,-2.14161583602865e-28,1.10131646287123e-55
3.98,-6.41035786875103e-29,1.43689855900939e-56
3.99,1.34322906066817e-28,1.89659906199588e-56
4,-3.27418092638254e-13,7.82416396470797e-26
4.01,-1.1518645691779e-28,7.27232106485973e-57
4.02,7.72226234755662e-29,7.47100422602153e-56
4.03,-7.2112326325205e-29,1.0365289326152e-56
4.04,-1.2236437279884e-28,5.72922748260424e-56
4.05,-1.58292656185287e-28,3.36711298600113e-56
4.06,-2.25554686039686e-13,3.21264032981106e-25
4.07,-1.69653858490782e-28,3.85825292910663e-56
4.08,2.19188223127276e-13,1.1612150224985e-24
4.09,2.72879922462641e-28,3.49450448696287e-56
4.1,1.60707713803276e-12,8.57577637044954e-25
4.11,-7.18046067049727e-13,4.59908901542843e-25
4.12,3.86572088485402e-28,8.5257044139863e-56
4.13,-1.42047471493786e-28,4.90254275723229e-56
4.14,-6.82575773680583e-13,5.22887237269353e-25
4.15,-4.08347733915641e-28,1.55136979343266e-55
4.16,-2.72166289505549e-13,5.58191196101974e-25
4.17,-5.63361633222455e-29,4.63473200157282e-57
4.18,7.68523022998124e-14,1.4884363705068e-24
4.19,1.23236532090232e-13,5.79928751182044e-25
4.2,-1.11306329184553e-28,8.04499558690808e-57
4.21,-9.04037733562291e-13,1.56987453743592e-24
4.22,-3.18155436371978e-29,1.53276006672361e-57
4.23,4.47471393272281e-13,6.13915400048916e-25
4.24,-1.3926637620898e-12,1.08289943133144e-24
4.25,-8.13997758086771e-13,1.66137859817051e-24
4.26,1.02171371178053e-28,1.24036499900735e-56
4.27,8.77662387210876e-13,2.31865184165859e-24
4.28,6.97252109776635e-29,1.71247368692015e-56
4.29,4.80213202536106e-13,2.33226513139931e-24
4.3,-3.89659264083548e-29,2.72153716728062e-57
4.31,7.5488060247153e-13,1.05744981010157e-24
4.32,-3.92391597227536e-29,7.78788308087582e-57
4.33,8.86757334228605e-14,1.5783396835745e-25
4.34,-2.80755749996035e-28,8.13640569037191e-56
4.35,2.26282281801105e-12,1.64637590996345e-24
4.36,-5.28530108567793e-13,4.72973920200004e-26
4.37,-3.06317815557122e-12,5.84952983294036e-24
4.38,-4.74407537764528e-29,1.43384255406256e-56
4.39,-2.73757905233651e-13,1.24117664305392e-25
4.4,-8.70009051923644e-29,2.94750922037966e-56
4.41,-2.23718012241655e-28,5.49350526465805e-56
4.42,-9.75670503983766e-29,2.15398313378286e-56
4.43,2.34194885706529e-13,6.6815638180264e-25
4.44,-5.01930480595714e-29,6.51502445520444e-57
4.45,4.87943907501176e-13,1.12064156505019e-24
4.46,-8.80000766614364e-29,1.87381635352577e-55
4.47,1.1323209037073e-12,2.18840608554789e-24
4.48,-5.28416421730071e-13,1.09250686711347e-24
4.49,-1.65941813905288e-28,3.76145987559188e-56
4.5,3.8835423765704e-13,6.67516538140628e-25
4.51,-4.20641299569979e-13,7.81096757730801e-25
4.52,-3.29750936929893e-28,7.80668038490401e-56
4.53,4.42014425061643e-13,7.19791206421218e-25
4.54,7.99445842858404e-13,2.45617082549768e-24
4.55,-5.22959453519434e-13,1.54247656016989e-24
4.56,-5.06931657575284e-28,1.94628756281839e-55
4.57,-7.3305272962898e-13,1.1528893958126e-24
4.58,-9.76684032474794e-29,1.31537906861545e-55
4.59,-6.23586114626285e-29,4.98975422458857e-57
4.6,-6.62763146129334e-29,2.9747792032984e-56
4.61,-1.93115216413675e-28,4.22835571451613e-56
4.62,2.0660304085593e-31,1.01757008711616e-56
4.63,-2.42532887173048e-28,1.49019002459396e-55
4.64,6.87577994540334e-13,2.2608477318058e-24
4.65,6.4301275415346e-13,1.15850909032451e-24
4.66,7.97626853454858e-13,4.79571912072885e-24
4.67,6.31189323030412e-13,1.76727179272385e-24
4.68,4.79879621317165e-28,4.29188551850299e-56
4.69,-6.70297595206648e-13,1.41244277426621e-24
4.7,1.70764526142714e-28,5.64966781019693e-56
4.71,-1.4615579857491e-12,9.06297664314844e-25
4.72,-1.19867868143353e-28,1.23140445467159e-56
4.73,2.38287611864507e-12,2.33630912550513e-24
4.74,-5.61494577723872e-29,1.07076216141928e-56
4.75,5.86169335292652e-13,4.8717522543811e-25
4.76,-1.13686837721616e-12,6.4543272020529e-25
4.77,-1.66922648549138e-28,3.39750261735753e-56
4.78,-2.49603814286865e-29,2.0802244902326e-56
4.79,5.52411938174386e-29,1.31070313913154e-56
4.8,-6.76269056193919e-29,8.80894352256616e-57
4.81,-6.7195923296738e-29,3.79623243305627e-56
4.82,-5.95011626124897e-28,1.91432218317219e-55
4.83,1.53437843965033e-29,2.49261607590321e-55
4.84,1.28477436898367e-30,5.71533683890488e-57
4.85,5.979927664157e-13,7.4805921374595e-25
4.86,-2.23109987838194e-28,6.48618825031426e-56
4.87,-1.09821485239081e-12,8.36035129745709e-25
4.88,-2.93766788672656e-13,7.77227680446209e-25
4.89,1.50066625792533e-14,1.28049690945408e-24
4.9,2.29829311138019e-12,3.23194203877925e-24
4.91,-1.01048419790862e-28,7.67926209567462e-56
4.92,-3.52974893758073e-12,6.09483815107529e-24
4.93,-1.15596776595339e-12,1.11744648678323e-24
4.94,5.9935700846836e-13,1.02235797672759e-24
4.95,1.17977491867223e-28,1.90226032809661e-56
4.96,2.9867806006223e-12,2.140687120701e-24
4.97,-3.18019696675423e-29,3.07299652800652e-56
4.98,-1.35150782060257e-28,2.2431492641749e-56
4.99,1.50976120494306e-12,7.90665432359245e-25
5,-2.33904926126029e-28,4.9629600114448e-56
