"Hetero_pwr","median","var"
1.14,-2.05251438628401e-32,3.83924828316875e-62
1.15,4.2632564145606e-15,2.24387101929532e-28
1.16,-7.23331265204241e-29,5.7542890837283e-57
1.17,1.93267624126747e-15,1.51512640040173e-28
1.18,-5.11083413044458e-32,1.42331667768241e-61
1.19,-2.50111042987555e-14,1.60892425201912e-26
1.2,1.39863627174222e-29,3.5958001537002e-57
1.21,-1.79056769411545e-15,2.99993911408549e-27
1.22,6.84963197272737e-15,1.59229130540042e-28
1.23,-3.97903932025656e-16,2.89511920630089e-29
1.24,1.47792889038101e-15,5.60328959110229e-29
1.25,-3.12638803734444e-15,1.81046025664945e-28
1.26,-5.29427048355571e-31,2.28906474262479e-61
1.27,-1.78175042838567e-29,5.3071063906635e-57
1.28,-7.70334881570826e-29,4.96138161940726e-57
1.29,-5.51381162949838e-15,6.26152410084902e-28
1.3,6.38920027995482e-14,3.33992802512261e-27
1.31,8.90688490816569e-29,3.76146700172911e-58
1.32,3.65503183274996e-14,8.06776377761656e-26
1.33,-3.84148343429432e-29,6.51364982646272e-57
1.34,-1.48464238660177e-30,1.7073496979456e-60
1.35,-1.32786226458848e-13,4.1138780334419e-26
1.36,-3.97903932025656e-14,8.20246040350694e-27
1.37,1.47003709039738e-28,2.53532961562136e-57
1.38,-1.10891650398139e-30,1.02248959867239e-60
1.39,-1.53931978275068e-13,3.01211941199975e-26
1.4,-8.74646470287045e-31,2.57277539924187e-60
1.41,-5.96855898038484e-14,9.81626861262752e-26
1.42,-3.88240550819319e-14,1.53476249547653e-27
1.43,5.91739990341011e-14,1.83304257458764e-26
1.44,3.85966814064886e-14,2.28930120012404e-26
1.45,-8.48903292876014e-29,9.24859120581282e-57
1.46,-2.12716316707606e-30,4.60029204185736e-60
1.47,8.42419467517175e-14,6.3642683268655e-27
1.48,9.91430327705226e-30,5.88463075544383e-57
1.49,2.95873006081071e-30,4.96551881347994e-57
1.5,-2.97954538839013e-29,2.51960017626248e-57
1.51,6.92352841724642e-14,2.37809121678766e-26
1.52,-2.29987091827598e-29,8.15695805378448e-57
1.53,-2.81715983874165e-13,4.65950983952629e-26
1.54,-3.26553252673318e-30,8.39356517463948e-60
