"Noise_perc","mu","var"
1.26,-3.1960952304338,19.0303843278534
1.27,-7.97054950652166,37.8999495683519
1.28,-4.5713935113094,41.6658017617151
1.29,-1.02972585279956,1.51401757766398
1.3,-4.8550267054471,32.6397789327218
1.31,-10.6234125221604,96.6723534319641
1.32,-2.81345091463337,20.1042243596491
1.33,-4.25712546627881,54.2685990185532
1.34,-1.82360028262282,3.65740120823221
1.35,-10.0449302785727,69.0973036469629
1.36,-4.52597385825932,26.9974261871227
1.37,-2.74960859844621,23.6660760009391
1.38,-5.68490890228102,115.437024860029
1.39,-5.80652843337335,68.4669355351575
1.4,-4.90243651212796,26.4903151475649
1.41,-7.7660934352718,78.6959905981545
1.42,-8.13014043938803,73.5494097249258
1.43,-9.58589712645465,142.511816872606
1.44,-10.8477810691105,159.810691952586
1.45,-7.22879188373945,49.9228724859086
1.46,-1.61660586779972,12.7654432507263
1.47,-6.1308229314785,33.0025862416487
1.48,-3.82180414150647,31.3522080973198
1.49,-4.56579031032231,25.3969373998737
1.5,-2.92228485688141,18.1975132237303
1.51,-10.798899324513,85.0560914916745
1.52,-7.15852535216942,96.351126736913
1.53,-5.59171463015247,20.5280498268796
1.54,-13.2994746231952,205.168689561611
1.55,-5.25960985636844,29.5394931605255
1.56,-7.72245066016999,80.0736639834488
1.57,-3.45041179382551,14.2236845527126
1.58,-4.36097711207127,38.674319358103
1.59,-3.00810941713075,47.3831127957652
1.6,-9.28217050387421,178.496258441439
1.61,-9.01264046103211,113.019404394561
1.62,-16.0648795351126,402.908088646897
1.63,-3.83606139008424,17.7089658910237
1.64,-11.1316676330119,204.251296113687
1.65,-12.0290599937875,186.368056309302
1.66,-7.14057594889402,65.040727577744
1.67,-8.96050432952237,167.040325842974
1.68,-3.33656160568566,19.4705299405963
1.69,-9.49040732001761,109.854780022632
1.7,-5.82716847717285,67.127836876526
1.71,-8.96667387325709,130.634314602881
1.72,-3.11752609941995,13.7696264270094
1.73,-10.9494045847631,347.42578017589
1.74,-9.15702805742705,107.308431551034
1.75,-4.13367837464691,18.2867658748119
1.76,-9.37110996873871,99.1197184754396
1.77,-6.35529793221426,76.7826474382619
1.78,-13.6771931075352,228.078922267497
1.79,-12.360244867626,100.510986818264
1.8,-11.806619326443,128.409509182449
1.81,-12.5873980491249,278.62359453617
1.82,-9.06524828217692,60.5436950972312
1.83,-9.82645315126574,180.271970009992
1.84,-6.1527584599071,59.6998000065246
1.85,-14.3905171910111,124.774572221137
1.86,-13.0069141872843,166.694988496709
1.87,-4.99671283668272,18.4701127156076
1.88,-5.04175037045862,22.7708216158657
1.89,-6.28294961991077,69.5062176054376
1.9,-4.21970218855515,18.6356093543805
1.91,-8.23770531969271,116.688898239174
1.92,-3.50783375978579,25.4343346821089
1.93,-7.16306215915058,105.913853338877
1.94,-7.27919665606483,151.156173089084
1.95,-7.82198609329891,122.88886176551
1.96,-10.127219932151,175.593902863613
1.97,-9.27468434237462,66.1160776943148
1.98,-14.0820870669583,258.008307598337
1.99,-13.4237107610068,647.167443419966
2,-12.5073159741513,188.973077607407
